Station,Filename
KAVUMTHAZHAM,muvattupuzha.json
KAVUMTHAZHAM,ernakulam.json
"PERUMPILLY, KAVUMTHAZHAM- KOLENCHERY PERUMBAVOOR",muvattupuzha.json
CHOTTANIKKARA,muvattupuzha.json
CHOTTANIKKARA,ernakulam.json
CHOTTANIKKARA,kottayam.json
SYNDATIC COMPANY,muvattupuzha.json
KIZHAKKAMBALAM BUS STAND,muvattupuzha.json
KULANGATTUKUZHY,muvattupuzha.json
PERUMBAVUR,muvattupuzha.json
AIRAPURAM,muvattupuzha.json
PALLIKKARA,muvattupuzha.json
PALLIKKARA,ernakulam.json
PAZHAMTHOTTAM JUNCTION,muvattupuzha.json
PAINGOTTOOR,muvattupuzha.json
PAINGOTTOOR,idukki.json
KALLOORKKAD,muvattupuzha.json
PERUMBAVOOR  ERNAKULAM-KAKKANAD,muvattupuzha.json
PERUMBAVOOR- PUTHUKKALAVATTAM,muvattupuzha.json
THRIPPUNITHURA,muvattupuzha.json
KIZHAKKAMBALAM JUNCTION,muvattupuzha.json
KIZHAKKAMBALAM JUNCTION,ernakulam.json
ONAMKULAM,muvattupuzha.json
CHEMBANKUZHY,muvattupuzha.json
NERIAMANGALAM BUS ST AND,muvattupuzha.json
PERUMBAVOOR STAND,muvattupuzha.json
POTHANICAD BUS STAND,muvattupuzha.json
PUTHENCRUZ,muvattupuzha.json
KALOOR BUS STAND,muvattupuzha.json
CHERANGANAL,muvattupuzha.json
KAKKANADU,muvattupuzha.json
"ALUVA , KIZHAKAMABALAM, THRIPPUNITHURA",muvattupuzha.json
MANKADAVU,muvattupuzha.json
ADIMALI,muvattupuzha.json
ADIMALI,idukki.json
ALLUNKAL,muvattupuzha.json
AVOLICHAL,muvattupuzha.json
PERUMANOOR,muvattupuzha.json
PERUMANOOR,ernakulam.json
THRIKKARIYOOR,muvattupuzha.json
PERUMANNOOR,muvattupuzha.json
MULAVOOR,muvattupuzha.json
VARAPPETTY,muvattupuzha.json
KANJIRAVELY,muvattupuzha.json
